question_id,idx
000af10b8e802a7e1c1a26d8fe5d459b,1
00181327f7a48f82098c1c5ad2245a7a,2
001d61387d80ba17f8ecdba6f192c839,3
001de384f5829aca3ce238755be8bb33,4
002a842e6b2011c00e21b92e9debde58,5
002bc0b1e444634852996f0e3aa6e885,6
002f9a43e542370d1a0bbea4f236888f,7
00330e759554a9e69c1b598b4b7f921e,8
00359cb1cdea453eea422ce0f44a9cb0,9
003df328e2c5e1130230e56f5c70b293,10
0040a3ac598d7b37c1191a7cc5e1fbce,11
00439aa3ce2cac237b5608477242efd8,12
004c1f219bda96ccb6d2cb6f6a13e5ec,13
006ce674e1650ec0474ec8c229c4801c,14
0079932747bc5628c36827f5faa26d06,15
00856215024eab3dc66abcdb577595ce,16
008d8edd8df6eb2fce3846f089696d50,17
00938799056c82d4b563b231cbff6217,18
009b9d5668be892dd8a4335614268a7b,19
00afe70623695607cdf70a378d3d913f,20
00b9b8b8b889fdcd7d1bb81dc400350e,21
00c80896ad5bf2c5ee37b574de01e6ee,22
00cd9a2e094efe9c2bb608484b6a60ee,23
00d1586ba65f5676936dfba4d8601162,24
00e0aefdb976c222e4e12c1fe2a41274,25
00e5455965adbd87fc5cf7991f7d272d,26
00eeba07a977e4a0f1e76bfbf9989c09,27
00f6c471f6db4b51bfc2978fb14e9e7b,28
01282136fa73a7b3326fdeb73cf8809d,29
01690a0c985e6fe32ad8c22dcc799c3b,30
017525ec5887410383a80444c111db96,31
0194740528267889b090bb8a838d8332,32
0197453436b68c570aac2f983f7ae6d0,33
0199f37d4deed4305742ce1a9f9aeaf2,34
01a8ee37f56386d12130dbe85b682a6c,35
01b906d9f5ace882a84c61a76ecf64dc,36
01c386c29bcc6473e26a8ef717d149be,37
01d280a79b5dc5feefa81a85e4124dc0,38
01e0608f4cb837e1e5bc4f9e9b8cf98c,39
01e2ccf691da905aba9b0b2d514d9d6c,40
01ee79807c5b4492eb65a622d499a14a,41
0204d89070269be4f862482f5add8363,42
0209780b0b6fa48865a7d3d3201aea9e,43
021cb6022549763a9a542ff0fe376845,44
022d4300c40f99bb4c269ae856bbc08e,45
0231e9690456cd72799f9509b9d0f556,46
023e0de3902798310433d5bfc80bb9ac,47
02481d680ac7490b64007fa9cd40cca9,48
02552ef135aac890491415832163f966,49
025d716530afb4b601a9d96916d7e5df,50
02615a67742cc1691813090915fd2740,51
026339a559531e0ef924691f5c6997e1,52
0264bf3416effe191c7fe4370a8791f3,53
02678a6f709e6de2fc29ff4e88c8eb01,54
02823f7a689172d7c7593df7c8ee724c,55
0284553693f16e8ca4fcc6d4d79f2862,56
029a3c8b74f9e31fe9edaf992b7664d8,57
02a576e998f767acd612120bc47cada9,58
02bace14752c36f1948eaa3d496ca1b1,59
02da7f33f9513524fb278b3632e1f7cb,60
02dc035e24be49a670c473f36f5f6f31,61
02ec6a3e724713a24bf2866ca0dbbdb0,62
02f6edeedc5d3285941a97eeb7f5f7d4,63
0307e1d7cc9b2fb7c04e4d4060d62b7b,64
0308d5f27d4b2e37be34708cf1886b09,65
0318215fe1c1cbc230bef44e0d30f994,66
031ef26536616745106c8221aa37f810,67
0321b50463b73aaef1bf4caeaba3d811,68
03574b09c67b125c799d42631c0630b2,69
03603ae5de5b83cc912a85b933bb7a6a,70
0362cb2757a2b33c57a582db2059d991,71
03690296bcf4930d4a7091bd7335964e,72
036b4e8b16dcf1637c0d3d1f4c7ad8bf,73
037738f020587149aa64f5aebeb456aa,74
037b5eb9d634de182fb460a366fe62de,75
03826d735596bcad3795734a2cac72c8,76
039efe4458da1e35f801a9c1ec43cf4e,77
03babedf3e68d1dfd9fee446b88c1c6f,78
03d944f922a22053def7612014c9e099,79
03ef376491e9962155325adb1796b763,80
0421b954ccdcdbcd9d59d614924e4b32,81
042cf35f91b14c576d60cda72bda46dd,82
043167a63c1631c87b2727f9a6a8e129,83
04581a8dcf6329183aff88711fc79fa1,84
045f82e070c7f2cfbcd18291f7a222cb,85
04665c05aa26c2dd8e4d2df37c9f4665,86
0467e4a2898b6b78e5c63e3de8ac235b,87
047917e528f816a5514f48b9272c9931,88
04892efe81b117da652a101d6d4e6745,89
0498cb6d999cab3efe38d30b1df2bea7,90
049e71461baa3d019a892579acfebe36,91
04a4bf900de286d7b0a312925662d8c8,92
04a6c4f8e93a6ca69435b1240ebacfca,93
04c9409fd31da43bf2072847a18e2d2f,94
04cf07462f86e5a6b878cfb5521a5184,95
04d319fd1dbae86f461ab0c6226c4625,96
04f8294d0166326161074b0703c5a1be,97
050799375ff168b9e64425aa3e9e4862,98
05231082b5f8b89846ebc699826c05e1,99
052f876fcf20bdee4d505f5eb8c6b159,100
05381492c4f7bb48a77fec1d39cb2320,101
053c2c1c872235204e18ae2bc6fbe333,102
05539ba2e3452ba41714693792e43f4b,103
05570e8764628f6fd4064812725c51f0,104
05671a42db769778da6a08cb7e05fb68,105
05731b62677d4cc8e6aad500e30e601c,106
05751c8320de59f029d48b3d8cdd59eb,107
0577e06f93442ddb6efbfe0206b5501c,108
0579f50810cc419ef10fab7d9f7f0aff,109
057b992694217cc7661cd44f3c5f35c3,110
05838a613b738e53409fc1561671c059,111
0583c3d1567c87dc71c98ba0dfbcfc4d,112
05916a7db173d3ebeea10b81b224f504,113
05972dd2e1ad4bdef82a1cd4df0bdfec,114
059dfeaf7b9872f8460fde66833bfc0f,115
059ecb27a141a51e7ba905d04ccc074d,116
05c2862090ce151695b2802bcfe988a7,117
05da9aaa4224b14d830bc46bc0196a5d,118
05f39820aed6d14d583aea73a2d70a8e,119
05f9ed1f0df356a295cdff45b0ae9083,120
0604b2591adcd578a8145e51c101691d,121
06080193d8cc98f96bd6c3b567fd1bf8,122
061146eb4fbf151e0f1742b0ef552324,123
062038a790352b37c16819e966e2bb93,124
0626d57439cf0584cbd9ba63f16c6f98,125
062a80b1401db061a3bdd6c90fef5c40,126
0632b15fe96ab5c6240db66f7a2722c1,127
064be08372ef67154f528f8e9de2b10c,128
064e14325f9b3bba42f42984220d3d9f,129
06547a2e873428915d4b4df78d44675d,130
06622c707354473a8f7c54ee52dcd4bd,131
0676f9781584f66c3e035a6018fd8e33,132
06ab9a1f1842a93de28cf6589efc4e1d,133
06c61a97d606a8ee46b6274515ee55cd,134
06cfc9e6a57b7c54a17a1e230eb241aa,135
06d24b8988f3a30192e6810850a2d313,136
06d4963b2ac4489e2d58847d56590124,137
06de49c8f9f00c711d6950d577ba222f,138
06f52e191b7431ebf22b3199d55c0248,139
06f644d2b57e07ab76129d8e5828ef3d,140
06f7717a65c88005d00190b159d29c9a,141
06f8938fc23247c77a431c5caeac1271,142
070003df1768995375e9c0ff6a091cc8,143
070055dd2f01fcb0083c863fbd3ece98,144
0707a4674f9756c2af167a4bc9316b89,145
070d62facb056c2fac0dc98079a25214,146
07146fddb34f63457b575ecaa598b979,147
071fa0ec3c552ba98140aebaee854e51,148
073cd7d71f4353a1075d8a381aec648f,149
074081ed52440453e8dc2a4458567f3e,150
075a878ed1b86bcad75f82af93b973c9,151
075b686567d47365395c1034d867a6b3,152
076b550cdd74e0d00ee253075f9adde8,153
0777584dba81624c3b6f6ee436b140a8,154
0778f88e5513a0634d534494cd2ba098,155
07858baf03617503232c66e91e20d84b,156
078ca76b2084934e4aa6a39e774b2215,157
0796c07c682675e9a7644c628739f7c5,158
07a570e653dd0c6a529b997ffedb3b79,159
07ad611e7d2319462d77f0a31847f273,160
07c4a3299d00188fd04073397f74d227,161
07f9c1cac6d98949f25f30b7cdaec2b9,162
07fac71b2b9ed7f8f4c8dace0e7a3418,163
07ff9bab7c44ec790a9612fe19e58908,164
